SognName,SognDigDagID,AmtName,AmtDigDagID,StartDate,EndDate
Systofte Sogn,114759,Nykøbing Amt,118793,1750-01-01,1803-05-25
Systofte Sogn,114759,Maribo Amt,118799,1803-05-25,1950-01-01
Sæby Sogn,114763,Viborg Amt,118830,1750-01-01,1950-01-01
Tersløse Sogn,114834,Holbæk Amt,118775,1750-01-01,1801-08-27
Tersløse Sogn,114834,Holbæk Amt,118779,1801-08-27,1950-01-01
Sønder Bjerge Sogn,114787,Sorø Amt,118785,1750-01-01,1950-01-01
Sædder Sogn,114765,Tryggevælde Amt,118786,1750-01-01,1803-05-25
Sædder Sogn,114765,Præstø Amt,118791,1803-05-25,1950-01-01
Sædinge Sogn,114768,Ålholm Amt,137442,1750-01-01,1803-05-25
Sædinge Sogn,114768,Maribo Amt,118799,1803-05-25,1950-01-01
Særslev Sogn,114770,Kalundborg Amt,118772,1750-01-01,1801-08-27
Særslev Sogn,114770,Holbæk Amt,118779,1801-08-27,1950-01-01
Tranebjerg Sogn,114891,Kalundborg Amt,118772,1750-01-01,1801-08-27
Tranebjerg Sogn,114891,Holbæk Amt,118779,1801-08-27,1950-01-01
Torslunde Sogn,114883,Københavns Amt,118762,1750-01-01,1950-01-01
Søby Sogn,114776,Randers Amt,118842,1750-01-01,1950-01-01
Søllested Sogn,114782,Halsteds Klosters Amt,118796,1750-01-01,1803-05-25
Søllested Sogn,114782,Maribo Amt,118799,1803-05-25,1950-01-01
Søndbjerg Sogn,114784,Thisted Amt,118826,1750-01-01,1950-01-01
Asmindrup Sogn,114786,Holbæk Amt,118775,1750-01-01,1801-08-27
Asmindrup Sogn,114786,Holbæk Amt,118779,1801-08-27,1950-01-01
Sønder Dalby Sogn,114791,Tryggevælde Amt,118786,1750-01-01,1803-05-25
Sønder Dalby Sogn,114791,Præstø Amt,118791,1803-05-25,1950-01-01
Sønder Dråby Sogn,114792,Thisted Amt,118826,1750-01-01,1950-01-01
Sønder Felding Sogn,114793,Ringkøbing Amt,118853,1750-01-01,1950-01-01
Sønder Kirkeby Sogn,114796,Nykøbing Amt,118793,1750-01-01,1803-05-25
